Soil,Root,Shoot
0.721,0.747,0.78
0.907,0.961666666666667,0.925
0.708666666666667,0.799333333333333,0.797666666666667
0.732666666666667,0.801666666666667,0.862
0.914333333333333,0.982666666666667,0.941
0.883,0.923333333333333,0.857
0.489333333333333,0.632666666666667,0.680666666666667
0.944,0.971666666666667,0.922333333333333
0.558666666666667,0.692666666666667,0.661
0.547333333333333,0.691333333333333,0.538
0.651,0.709666666666667,0.724333333333333
1,0.968,0.885666666666667
0.922,0.962666666666667,0.940666666666667
0.843666666666667,0.896333333333333,0.831
0.444333333333333,0.671333333333333,0.572666666666667
0.477666666666667,0.644333333333333,0.767666666666667
0.852,0.975666666666667,0.876666666666667
0.738,0.867333333333333,0.756
0.629,0.738,0.786666666666667
0.887666666666667,0.915333333333333,0.894
0.534333333333333,0.675,0.69
0.543333333333333,0.658,0.738666666666667
0.439666666666667,0.692333333333333,0.767
1,0.916666666666667,0.849666666666667
0.853333333333333,0.916666666666667,0.894666666666667
0.841333333333333,0.881,0.899333333333333
0.800333333333333,0.727666666666667,0.787333333333333
0.457,0.927333333333333,0.551333333333333
0.585333333333333,0.684666666666667,0.781666666666667
0.915333333333333,0.948666666666667,0.936
0.566333333333333,0.580666666666667,0.684666666666667
0.892,0.920666666666667,0.889
0.872,0.905,0.937
0.850333333333333,0.871666666666667,0.928
0.998666666666667,0.592,0.766666666666667
0.55,0.622666666666667,0.655666666666667
0.485666666666667,0.626666666666667,0.797
0.831,0.957333333333333,0.913333333333333
0.734666666666667,0.836666666666667,0.839333333333333
0.629666666666667,0.76,0.793333333333333
0.876666666666667,0.886666666666667,0.900333333333333
0.514333333333333,0.625333333333333,0.685333333333333
0.543666666666667,0.602666666666667,0.733333333333333
0.472,0.625666666666667,0.735
1,0.910666666666667,0.882
0.840666666666667,0.892333333333333,0.889
0.801666666666667,0.977,0.812
0.708666666666667,0.781666666666667,0.846333333333333
0.682,0.796666666666667,0.812333333333333
0.858333333333333,0.784666666666667,0.846
0.590333333333333,0.723333333333333,0.82
0.58,0.673,0.875
0.52,0.704666666666667,0.847333333333333
0.999333333333333,0.83,0.771333333333333
0.820333333333333,0.826,0.813333333333333
0.577333333333333,0.926,0.828666666666667
0.919,0.989333333333333,0.946333333333333
0.473,0.919333333333333,0.744
0.884333333333333,0.978,0.920333333333333
0.884,0.987,0.952
0.849333333333333,0.975333333333333,0.956333333333333
0.999666666666667,0.937333333333333,0.777
0.534666666666667,0.901,0.593666666666667
0.866666666666667,0.918666666666667,0.792333333333333
0.615666666666667,0.632,0.826
0.820333333333333,0.901666666666667,0.739333333333333
0.826666666666667,0.887666666666667,0.714333333333333
0.776666666666667,0.858666666666667,0.812333333333333
1,0.759,0.700666666666667
0.553,0.749,0.852666666666667
0.945,0.959,0.927333333333333
0.478666666666667,0.608666666666667,0.727
0.500666666666667,0.570333333333333,0.680666666666667
0.569,0.619333333333333,0.762333333333333
1,0.948333333333333,0.823
0.921333333333333,0.953333333333333,0.934333333333333
0.918,0.943666666666667,0.884
0.917666666666667,0.921,0.922666666666667
0.891,0.891,0.933
1,0.556333333333333,0.745333333333333
0.512333333333333,0.650666666666667,0.746666666666667
0.425333333333333,0.535333333333333,0.584666666666667
0.458333333333333,0.574333333333333,0.695666666666667
0.999666666666667,0.951,0.783
0.893666666666667,0.947,0.887
0.474666666666667,0.578333333333333,0.73
1,0.931333333333333,0.836666666666667
0.887,0.92,0.938333333333333
1,0.892666666666667,0.852333333333333
0.865333333333333,0.923,0.936666666666667
0.987666666666667,0.650666666666667,0.763666666666667
